temps,croissance_A2,croissance_A4_2
308,0.5,-inf
309,0.5,-inf
310,0.5,-inf
311,0.5,-inf
312,0.5,-inf
313,0.5,-inf
314,0.5,-inf
315,0.5,-inf
316,0.5,-inf
317,0.5,-inf
318,0.5,-inf
319,0.5,-inf
320,0.5,-inf
321,0.5,-inf
322,0.5,-inf
323,0.5,-inf
324,0.5,-inf
325,0.5,-inf
326,0.5,-inf
327,0.5,-inf
328,0.5,-inf
329,0.5,-inf
330,0.5,-inf
331,0.5,-inf
332,0.5,-inf
333,0.5,-inf
334,0.5,-inf
335,0.5,-inf
336,0.5,-inf
337,0.5,-inf
338,0.5,-inf
339,0.5,-inf
340,0.5,-inf
341,0.5,-inf
342,0.5,-inf
343,0.5,-inf
344,0.5,-inf
345,0.5,-inf
346,0.5,-inf
347,0.5,-inf
348,0.5,-inf
349,0.5,-inf
350,0.5,-inf
351,0.5,-inf
352,0.5,-inf
353,0.5,-inf
354,0.5,-inf
355,0.5,-inf
356,0.5,-inf
357,0.5,-inf
358,0.5,-inf
359,0.5,-inf
360,0.5,-inf
361,0.5,-inf
362,0.5,-inf
363,0.5,-inf
364,0.5,-inf
365,0.5,-inf
366,0.5,-inf
367,0.5,-inf
368,0.5,-inf
369,0.5,-inf
370,0.5,-inf
371,0.5,-inf
372,0.5,-inf
373,0.5,-inf
374,0.5,-inf
375,0.5,-inf
376,0.5,-inf
377,0.5,-inf
378,0.5,-inf
379,0.5,-inf
380,0.5,-inf
381,0.5,-inf
382,0.5,-inf
383,0.5,-inf
384,0.5,-inf
385,0.5,-inf
386,0.5,-inf
387,0.5,-inf
388,0.5,-inf
389,0.5,-inf
390,0.5,-inf
391,0.5,-inf
392,0.5,-inf
393,0.5,-inf
394,0.5,-inf
395,0.5,-inf
396,0.5,-inf
397,0.5,-inf
398,0.5,-inf
399,0.5,-inf
400,0.5,-inf
401,0.5,-inf
402,0.5,-inf
403,0.5,-inf
404,0.5,-inf
405,0.5,-inf
406,0.5,-inf
407,0.5,-inf
408,0.5,-inf
409,0.5,-inf
410,0.5,-inf
411,0.5,-inf
412,0.5,-inf
413,0.5,-inf
414,0.5,-inf
415,0.5,-inf
416,0.5,-inf
417,0.5,-inf
418,0.5,-inf
419,0.5,-inf
420,0.5,-inf
421,0.5,-inf
422,0.5,-inf
423,0.5,-inf
424,0.5,-inf
425,0.5,-inf
426,0.5,-inf
